Date,GdpPakistan,Per Capita,Annual Per Change
12/31/1960,3.749265015,83.3379,0
12/31/1961,4.118647627,89.409,5.9873
12/31/1962,4.310163797,91.3192,4.4829
12/31/1963,4.630827383,95.7034,8.6888
12/31/1964,5.204955901,104.8802,7.5698
12/31/1965,5.929231415,116.4467,10.4194
12/31/1966,6.561108778,125.547,5.79
12/31/1967,7.46451071,139.1185,5.4006
12/31/1968,8.04199916,145.9457,7.2332
12/31/1969,8.683116338,153.417,5.5079
12/31/1970,10.02750945,172.4657,11.3535
12/31/1971,10.66589668,178.5551,0.4684
12/31/1972,9.41501636,153.384,0.8134
12/31/1973,6.38342949,101.1647,7.0643
12/31/1974,8.899191919,137.1089,3.5402
12/31/1975,11.23060606,168.0804,4.2114
12/31/1976,13.16808081,191.3011,5.1562
12/31/1977,15.12606061,213.1687,3.9477
12/31/1978,17.81151515,243.3358,8.0485
12/31/1979,19.68838384,260.5623,3.7584
12/31/1980,23.65444444,303.051,10.2157
12/31/1981,28.10060606,348.2951,7.9208
12/31/1982,30.72597156,368.2774,6.5375
12/31/1983,28.69188976,332.5211,6.7784
12/31/1984,31.15182547,349.1821,5.0652
12/31/1985,31.14492084,337.8285,7.5921
12/31/1986,31.89907006,335.0201,5.5017
12/31/1987,33.35152927,339.3323,6.4523
12/31/1988,38.47274281,379.4545,7.6253
12/31/1989,40.17101823,384.3643,4.9598
12/31/1990,40.01042397,371.6786,4.4586
12/31/1991,45.6252347,411.8595,5.0616
12/31/1992,48.88460685,429.1469,7.7059
12/31/1993,51.80994933,442.4922,1.7577
12/31/1994,52.29345691,434.4654,3.7374
12/31/1995,60.63602242,489.8818,4.9626
12/31/1996,63.32012281,497.2161,4.8466
12/31/1997,62.43330034,476.3812,1.0144
12/31/1998,62.19195581,461.2167,2.5502
12/31/1999,62.97385572,454.2761,3.6601
12/31/2000,82.01774342,576.1956,4.2601
12/31/2001,79.48440398,544.4943,3.5544
12/31/2002,79.90498538,534.3039,2.5083
12/31/2003,91.76054294,599.3763,5.777
12/31/2004,107.7596839,687.8364,7.5469
12/31/2005,120.055292,748.9226,6.5188
12/31/2006,137.2640611,836.8605,5.899
12/31/2007,152.3857163,908.0951,4.8328
12/31/2008,170.0778141,990.8466,1.7014
12/31/2009,168.1527753,957.9957,2.8317
12/31/2010,177.1656351,987.4097,1.6067
12/31/2011,213.5874132,1164.9761,2.7484
12/31/2012,224.3836208,1198.109,3.507
12/31/2013,231.2185672,1208.9043,4.3965
12/31/2014,244.3608888,1251.1641,4.6747
12/31/2015,270.5561317,1356.6678,4.7311
12/31/2016,278.6546377,1368.4543,5.5267
12/31/2017,304.5672532,1464.9933,5.5543
12/31/2018,314.5675416,1482.3057,5.8364
12/31/2019,278.221906,1284.702,0.9888
